ZIP_CODE,POPULATION_2010,HOUSING_2010,LAND_AREA_SQ_METER,LAND_AREA_SQ_MILES,LATITUDE,LONGITUD,COUNTY
95134,15268,7068,24563311,9.484,37.42765,-121.945416,Santa Clara
95135,20120,7373,79227374,30.59,37.286454,-121.68836,Santa Clara
95136,42989,15448,12260084,4.734,37.270058,-121.85133300000001,Santa Clara
95138,18889,5891,67519790,26.07,37.246621000000005,-121.73383999999999,Santa Clara
95139,6748,2260,3188071,1.2309999999999999,37.224914,-121.764075,Santa Clara
95140,191,130,320449305,123.726,37.393503,-121.62000900000001,Santa Clara
95148,45528,11747,24409620,9.425,37.335987,-121.777603,Santa Clara
95219,27884,11281,147276476,56.864,38.051726,-121.48303600000001,Contra Costa
95377,30902,8819,279847793,108.05,37.674036,-121.51728100000001,Alameda
95391,9959,3331,61518426,23.752,37.768237,-121.60968600000001,Alameda
95401,36981,14062,53417691,20.625,38.449137,-122.793752,Sonoma
95403,45164,17965,57009092,22.011,38.503685,-122.754057,Sonoma
95404,39761,17039,207132279,79.97399999999999,38.526298,-122.69096,Sonoma
95405,21399,9251,14183932,5.476,38.437114,-122.665993,Sonoma
95407,39352,12442,58746449,22.682,38.3933,-122.745048,Sonoma
95409,27187,12983,99389538,38.375,38.468893,-122.58053899999999,Sonoma
95412,401,203,221922989,85.685,38.713421000000004,-123.349777,Sonoma
95421,1592,1289,561075399,216.632,38.628044,-123.15948600000002,Sonoma
95425,10841,4544,532783085,205.709,38.823075,-123.06356699999999,Sonoma
95430,44,32,615335,0.23800000000000002,38.461425,-123.04718500000001,Sonoma
95431,631,0,196644,0.076,38.348343,-122.51705600000001,Sonoma
95436,5418,2995,59514277,22.979,38.48697,-122.905772,Sonoma
95439,675,263,7091874,2.738,38.493179,-122.777546,Sonoma
95441,2014,847,263936405,101.906,38.731694,-122.90676699999999,Sonoma
95442,3178,1750,63226514,24.412,38.371334000000004,-122.487136,Sonoma
95444,748,288,700896,0.271,38.433215999999994,-122.869001,Sonoma
95446,4750,3565,85259067,32.919000000000004,38.527164,-123.007892,Sonoma
95448,16852,7753,488207763,188.498,38.627028,-122.89158,Sonoma
95450,387,366,71095022,27.45,38.501363,-123.170879,Sonoma
95452,1393,760,37217734,14.37,38.425523,-122.53521,Sonoma
95462,1417,1135,15213763,5.874,38.462146000000004,-123.018428,Sonoma
95465,2083,1314,108040410,41.715,38.421306,-123.065708,Sonoma
95471,522,434,3734436,1.442,38.524077,-122.968774,Sonoma
95472,28255,13187,179074707,69.141,38.398815,-122.861923,Sonoma
95476,35394,16559,290048360,111.988,38.254934999999996,-122.470703,Sonoma
95486,62,67,50163,0.019,38.474137,-123.024203,Sonoma
95492,28532,10192,49281501,19.028,38.528079,-122.821349,Sonoma
95497,1305,1818,41841498,16.155,38.742903000000005,-123.476087,Sonoma
95612,1239,502,143682929,55.476000000000006,38.384648,-121.578701,Solano
95618,27281,10257,90464817,34.929,38.543211,-121.6815,Solano
95620,20553,7048,623564441,240.76,38.412615,-121.756222,Solano
95625,155,69,2991432,1.155,38.358121000000004,-121.911547,Solano
95687,65096,22537,112718088,43.521,38.333133000000004,-121.920151,Solano
95688,34379,12997,210272010,81.186,38.408571,-122.022775,Solano
95690,2533,1123,148353474,57.28,38.199576,-121.618273,Solano
95694,9156,3274,386439555,149.205,38.568490999999995,-122.08021000000001,Solano
